,description,link,name,number,website
94," The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics may vary from department to department and semester to semester. ",https://www2.eecs.berkeley.edu/Courses/EE24_4510,Designing Information Devices and Systems II,EE 24,http://inst.eecs.berkeley.edu/~ee24
95," Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25. ",https://www2.eecs.berkeley.edu/Courses/EE39_2893,BLISS: Berkeley Low-cost Interplanetary Solar Sail,EE 39,http://inst.eecs.berkeley.edu/~ee39
96," This course and its follow-on course EECS16B focus on the fundamentals of designing modern information devices and systems that interface with the real world. Together, this course sequence provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design while introducing key linear-algebraic concepts motivated by application contexts. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper/pencil exercises. The courses are aimed at entering students as well as non-majors seeking a broad foundation for the field.",https://www2.eecs.berkeley.edu/Courses/EECS16A,,EECS 16A,http://inst.eecs.berkeley.edu/~eecs16a
97," This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections—instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are designed to enhance any intern’s, tutor’s, or TA’s teaching skillset. Class is discussion based, and covers theoretical and practical pedagogical aspects to teaching in STEM. An integral feature of the course involves providing weekly tutoring sessions.",https://www2.eecs.berkeley.edu/Courses/CS370,Adaptive Instruction Methods in Computer Science,CS 370,http://inst.eecs.berkeley.edu/~cs370
98," This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections—instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are designed to enhance any intern’s, tutor’s, or TA’s teaching skillset. Class is discussion based, and covers theoretical and practical pedagogical aspects to teaching in STEM. An integral feature of the course involves providing weekly tutoring sessions.",https://www2.eecs.berkeley.edu/Courses/CS370,Database Seminar,CS 370,http://inst.eecs.berkeley.edu/~cs370
99," Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation. ",https://www2.eecs.berkeley.edu/Courses/CS298_3143,Research Culture and Community Norms,CS 298,http://inst.eecs.berkeley.edu/~cs298
100," Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation. ",https://www2.eecs.berkeley.edu/Courses/CS298_4248,"Group Studies Seminars, or Group Research",CS 298,http://inst.eecs.berkeley.edu/~cs298
101," Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation. ",https://www2.eecs.berkeley.edu/Courses/CS298,Intro to Research in Quantum Computation,CS 298,http://inst.eecs.berkeley.edu/~cs298
102, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4585,Phase Transitions,CS 294,http://inst.eecs.berkeley.edu/~cs294
103, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4544,Pseudorandomness,CS 294,http://inst.eecs.berkeley.edu/~cs294
104, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_1902,Advanced topics in learning and decision making,CS 294,http://inst.eecs.berkeley.edu/~cs294
105, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4508,Design and Evaluation of Processes for Teaching Computer Science at Scale,CS 294,http://inst.eecs.berkeley.edu/~cs294
106, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4323,Algorithms and Inequality,CS 294,http://inst.eecs.berkeley.edu/~cs294
107, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4650,Machine Learning and Econ,CS 294,http://inst.eecs.berkeley.edu/~cs294
108, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4506,Special Topics on Decentralized Finance,CS 294,http://inst.eecs.berkeley.edu/~cs294
109, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4634,Privacy Preserving Systems,CS 294,http://inst.eecs.berkeley.edu/~cs294
110, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4181,Computational Color,CS 294,http://inst.eecs.berkeley.edu/~cs294
111, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_3733,Immersive Computing and Virtual Reality,CS 294,http://inst.eecs.berkeley.edu/~cs294
112, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4180,Special Topics,CS 294,http://inst.eecs.berkeley.edu/~cs294
113, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294,Experimental Design for Machine Learning on Multimedia Data,CS 294,http://inst.eecs.berkeley.edu/~cs294
114, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_3438,Vision and Language AI Seminar,CS 294,http://inst.eecs.berkeley.edu/~cs294
115, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4651,Intro to Computer Vision and Computational Photography,CS 294,http://inst.eecs.berkeley.edu/~cs294
116, Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4237,Introduction to Machine Learning,CS 294,http://inst.eecs.berkeley.edu/~cs294
117," This course provides an introduction to theoretical foundations, algorithms, and methodologies for machine learning, emphasizing the role of probability and optimization and exploring a variety of real-world applications. Students are expected to have a solid foundation in calculus and linear algebra as well as exposure to the basic tools of logic and probability, and should be familiar with at least one modern, high-level programming language. ",https://www2.eecs.berkeley.edu/Courses/CS289A,"Deep Reinforcement Learning, Decision Making, and Control",CS 289A,http://inst.eecs.berkeley.edu/~cs289a
118," Intersection of control, reinforcement learning, and deep learning. Deep learning methods, which train large parametric function approximators, achieve excellent results on problems that require reasoning about unstructured real-world situations (e.g., computer vision, speech recognition, NLP). Advanced treatment of the reinforcement learning formalism, the most critical model-free reinforcement learning algorithms (policy gradients, value function and Q-function learning, and actor-critic), a discussion of model-based reinforcement learning algorithms, an overview of imitation learning, and a range of advanced topics (e.g., exploration, model-based learning with video prediction, transfer learning, multi-task learning, and meta-learning).",https://www2.eecs.berkeley.edu/Courses/CS285,Statistical Learning Theory,CS 285,http://inst.eecs.berkeley.edu/~cs285
119," Classification regression, clustering, dimensionality, reduction, and density estimation. Mixture models, hierarchical models, factorial models, hidden Markov, and state space models, Markov properties, and recursive algorithms for general probabilistic inference nonparametric methods including decision trees, kernal methods, neural networks, and wavelets. Ensemble methods. ",https://www2.eecs.berkeley.edu/Courses/CSC281A,Implementation of Programming Languages,CS C281A,http://inst.eecs.berkeley.edu/~cs281a
120," Compiler construction. Lexical analysis, syntax analysis. Semantic analysis code generation and optimization. Storage management. Run-time organization. ",https://www2.eecs.berkeley.edu/Courses/CS264,Design of Programming Languages,CS 264,http://inst.eecs.berkeley.edu/~cs264
121," Selected topics from: analysis, comparison, and design of programming languages, formal description of syntax and semantics, advanced programming techniques, structured programming, debugging, verification of programs and compilers, and proofs of correctness. ",https://www2.eecs.berkeley.edu/Courses/CS263,Advanced Topics in Computer Systems,CS 263,http://inst.eecs.berkeley.edu/~cs263
122," Graduate survey of systems for managing computation and information, covering a breadth of topics: early systems; volatile memory management, including virtual memory and buffer management; persistent memory systems, including both file systems and transactional storage managers; storage metadata, physical vs. logical naming, schemas, process scheduling, threading and concurrency control; system support for networking, including remote procedure calls, transactional RPC, TCP, and active messages; security infrastructure; extensible systems and APIs; performance analysis and engineering of large software systems. Homework assignments, exam, and term paper or project required. ",https://www2.eecs.berkeley.edu/Courses/CS262A,Introduction to Digital Design and Integrated Circuits Lab,CS 262A,http://inst.eecs.berkeley.edu/~cs262a
123," An introduction to digital circuit and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs, and projects.",https://www2.eecs.berkeley.edu/Courses/EECS251A,Introduction to Embedded Systems,EECS 251A,http://inst.eecs.berkeley.edu/~eecs251a
124," This course introduces students to the basics of models, analysis tools, and control for embedded systems operating in real time. Students learn how to combine physical processes with computation. Topics include models of computation, control, analysis and verification, interfacing with the physical world, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects. ",https://www2.eecs.berkeley.edu/Courses/CSC249A,Optimization Models in Engineering,CS C249A,http://inst.eecs.berkeley.edu/~cs249a
125," This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization. ",https://www2.eecs.berkeley.edu/Courses/EECS227AT,Statistical Signal Processing,EECS 227AT,http://inst.eecs.berkeley.edu/~eecs227at
126," This course connects classical statistical signal processing (Hilbert space filtering theory by Wiener and Kolmogorov, state space model, signal representation, detection and estimation, adaptive filtering) with modern statistical and machine learning theory and applications. It focuses on concrete algorithms and combines principled theoretical thinking with real applications.",https://www2.eecs.berkeley.edu/Courses/EECS225A,Computational Principles for High-dimensional Data Analysis,EECS 225A,http://inst.eecs.berkeley.edu/~eecs225a
127," This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed. The course also presents the use of the same analytical techniques as manipulation for the analysis of images & computer vision. Low level vision, structure from motion, & an introduction to vision & learning will be covered. The course concludes with current applications of robotics.",https://www2.eecs.berkeley.edu/Courses/EECS206A,Supervised Independent Study,EECS 206A,http://inst.eecs.berkeley.edu/~eecs206a
128, Supervised independent study. Enrollment restrictions apply. ,https://www2.eecs.berkeley.edu/Courses/CS199,UCBUGG: 3D Modeling and Animation,CS 199,http://inst.eecs.berkeley.edu/~cs199
129," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_3164,Introduction to Algorithmic Thinking,CS 198,http://inst.eecs.berkeley.edu/~cs198
130," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4643,Algorithmic Fairness and the Genome  (2 hour version),CS 198,http://inst.eecs.berkeley.edu/~cs198
131," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4624,Algorithmic Fairness and the Genome  (1 hour version),CS 198,http://inst.eecs.berkeley.edu/~cs198
132," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4623,Recommendation Systems in Machine Learning DeCal,CS 198,http://inst.eecs.berkeley.edu/~cs198
133," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4622,Digital Privacy,CS 198,http://inst.eecs.berkeley.edu/~cs198
134," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4617,Robot Autonomous Racing DeCal,CS 198,http://inst.eecs.berkeley.edu/~cs198
135," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4621,ANova DeCal,CS 198,http://inst.eecs.berkeley.edu/~cs198
136," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4277,Cloud Computing and SaaS,CS 198,http://inst.eecs.berkeley.edu/~cs198
137," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4290,Going Down the EECS Stack DeCal,CS 198,http://inst.eecs.berkeley.edu/~cs198
138," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_3052,Web Design DeCal,CS 198,http://inst.eecs.berkeley.edu/~cs198
139," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_2940,Linux System Administration DeCal,CS 198,http://inst.eecs.berkeley.edu/~cs198
140," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_3339,UCBUGG: 3D Modeling and Animation,CS 198,http://inst.eecs.berkeley.edu/~cs198
141," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_3164,Directed Group Studies for Advanced Undergraduates,CS 198,http://inst.eecs.berkeley.edu/~cs198
142," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198,iOS DeCal,CS 198,http://inst.eecs.berkeley.edu/~cs198
143," Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_2872,Senior Honors Thesis Research,CS 198,http://inst.eecs.berkeley.edu/~cs198
144," Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division technical units in the College of Letters and Science with a major in Computer Science. ",https://www2.eecs.berkeley.edu/Courses/CSH196A,Senior Honors Thesis Research,CS H196A,http://inst.eecs.berkeley.edu/~cs196a
145," Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division technical units in the College of Letters and Science with a major in Computer Science. ",https://www2.eecs.berkeley.edu/Courses/CSH196A,Social Implications of Computer Technology,CS H196A,http://inst.eecs.berkeley.edu/~cs196a
146, Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students will lead discussions on additional topics. ,https://www2.eecs.berkeley.edu/Courses/CS195,Special Topics on Decentralized Finance,CS 195,http://inst.eecs.berkeley.edu/~cs195
147, Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4634,Computational Genomics,CS 194,http://inst.eecs.berkeley.edu/~cs194
148, Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4584,EECS for All: Social Justice in EECS,CS 194,http://inst.eecs.berkeley.edu/~cs194
149, Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4431,Intro to Computer Vision and Computational Photography,CS 194,http://inst.eecs.berkeley.edu/~cs194
150, Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4237,Parallel Programming,CS 194,"https://inst.eecs.berkeley.edu/~cs194-26/,http://inst.eecs.berkeley.edu/~cs194"
151, Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4178,Quantum Information Science and Technology,CS 194,"https://inst.eecs.berkeley.edu/~cs194-15,http://inst.eecs.berkeley.edu/~cs194"
152," This multidisciplinary course provides an introduction to fundamental conceptual aspects of quantum mechanics from a computational and informational theoretic perspective, as well as physical implementations and technological applications of quantum information science. Basic sections of quantum algorithms, complexity, and cryptography, will be touched upon, as well as pertinent physical realizations from nanoscale science and engineering. ",https://www2.eecs.berkeley.edu/Courses/CSC191,Introduction to Machine Learning,CS C191,http://inst.eecs.berkeley.edu/~cs191
153," Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects covering a variety of real-world applications. ",https://www2.eecs.berkeley.edu/Courses/CS189,Introduction to Artificial Intelligence,CS 189,http://inst.eecs.berkeley.edu/~cs189
154," Ideas and techniques underlying the design of intelligent computer systems. Topics include search, game playing, knowledge representation, inference, planning, reasoning under uncertainty, machine learning, robotics, perception, and language understanding.",https://www2.eecs.berkeley.edu/Courses/CS188,Introduction to Database Systems,CS 188,http://inst.eecs.berkeley.edu/~cs188
155," Broad introduction to systems for storing, querying, updating and managing large databases. Computer science skills synthesizing viewpoints from low-level systems architecture to high-level modeling and declarative logic. System internals, including the complex details of query optimization and execution, concurrency control, indexing, and memory management.  More abstract issues in query languages and data modeling – students are exposed to formal relational languages, SQL, full-text search, entity-relationship modeling, normalization, and physical database design. Recent technological trends in the field, including “Big Data” programming libraries like MapReduce, and distributed key-value stores with various consistency models.",https://www2.eecs.berkeley.edu/Courses/CSW186,Efficient Algorithms and Intractable Problems,CS W186,http://inst.eecs.berkeley.edu/~cs186
156," Concept and basic techniques in the design and analysis of algorithms; models of computation; lower bounds; algorithms for optimum search trees, balanced trees and UNION-FIND algorithms; numerical and algebraic algorithms; combinatorial algorithms. Turing machines, how to count steps, deterministic and nondeterministic Turing machines, NP-completeness. Unsolvable and intractable problems. ",https://www2.eecs.berkeley.edu/Courses/CS170,Introduction to Software Engineering,CS 170,http://inst.eecs.berkeley.edu/~cs170
157," Ideas and techniques for designing, developing, and modifying large software systems. Service-oriented architecture, behavior-driven design with user stories, cloud computing, test-driven development, automated testing, cost and quality metrics for maintainability and effort estimation, practical performance and security in software operations, design patterns and refactoring, specification and documentation, agile project team organization and management.",https://www2.eecs.berkeley.edu/Courses/CS169A,Programming Languages and Compilers,CS 169A,http://inst.eecs.berkeley.edu/~cs169a
158," Survey of programming languages. The design of modern programming languages. Principles and techniques of scanning, parsing, semantic analysis, and code generation. Implementation of compilers, interpreters, and assemblers. Overview of run-time organization and error handling. ",https://www2.eecs.berkeley.edu/Courses/CS164,Operating Systems and System Programming,CS 164,http://inst.eecs.berkeley.edu/~cs164
159," Basic concepts of operating systems and system programming. Utility programs, subsystems, multiple-program systems. Processes, interprocess communication, and synchronization. Memory allocation, segmentation, paging. Loading and linking, libraries. Resource allocation, scheduling, performance evaluation. File systems, storage devices, I/O systems. Protection, security, and privacy. ",https://www2.eecs.berkeley.edu/Courses/CS162,Computer Security,CS 162,http://inst.eecs.berkeley.edu/~cs162
160," Introduction to computer security. Cryptography, including encryption, authentication, hash functions, cryptographic protocols, and applications. Operating system security, access control. Network security, firewalls, viruses, and worms. Software security, defensive programming, and language-based security. Case studies from real-world systems. ",https://www2.eecs.berkeley.edu/Courses/CS161,Introduction to Digital Design and Integrated Circuits Lab,CS 161,http://inst.eecs.berkeley.edu/~cs161
161," This course introduces students to the basics of modeling, analysis, and design of embedded, cyber-physical systems. Students learn how to integrate computation with physical processes to meet a desired specification. Topics include models of computation, control, analysis and verification, interfacing with the physical world, real-time behaviors, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects.",https://www2.eecs.berkeley.edu/Courses/EECS149,Optimization Models in Engineering,EECS 149,http://inst.eecs.berkeley.edu/~eecs149
162," This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains. ",https://www2.eecs.berkeley.edu/Courses/EECS126,Introduction to Robotics,EECS 126,http://inst.eecs.berkeley.edu/~eecs126
163," This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed. The course also presents the use of the same analytical techniques as manipulation for the analysis of images & computer vision. Low level vision, structure from motion, & an introduction to vision & learning will be covered. The course concludes with current applications of robotics.",https://www2.eecs.berkeley.edu/Courses/EECSC106A,Principles & Techniques of Data Science,EECS C106A,http://inst.eecs.berkeley.edu/~eecs106a
164," In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction​, and decision-making.​ This class will focus on quantitative critical thinking​ and key principles and techniques needed to carry out this cycle. These include languages for transforming, querying and analyzing data; algorithms for machine learning methods including regression, classification and clustering; principles behind creating informative data visualizations; statistical concepts of measurement error and prediction; and techniques for scalable data processing.",https://www2.eecs.berkeley.edu/Courses/CSC100,Computational Structures in Data Science,CS C100,http://inst.eecs.berkeley.edu/~cs100
165," Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding  the structures that underlie the programs, algorithms, and languages used in data science and elsewhere.   Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming. Provides practical experience with composing larger systems through several significant programming projects.",https://www2.eecs.berkeley.edu/Courses/CS88,Discrete Mathematics and Probability Theory,CS 88,http://inst.eecs.berkeley.edu/~cs88
166," Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference. ",https://www2.eecs.berkeley.edu/Courses/CS70,Machine Structures,CS 70,http://inst.eecs.berkeley.edu/~cs70
167," The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions. ",https://www2.eecs.berkeley.edu/Courses/CS61C,Data Structures,CS 61C,http://inst.eecs.berkeley.edu/~cs61c
168,,https://www.csd.cs.cmu.edu/course-profiles/15-351-Algorithms-and-Advanced-Data-Structures,Algorithms and Advanced Data Structures,15-351,http://www.cs.cmu.edu/~jianma/15351/index.html
169,,https://www.csd.cs.cmu.edu/course-profiles/15-451-Algorithm-Design-and-Analysis,Algorithm Design and Analysis,15-651,"https://www.cs.cmu.edu/~15451/,https://www.cs.cmu.edu/~15451/"
170,,https://www.csd.cs.cmu.edu/course-profiles/15-445_645-Database-Systems,Database Systems,15-645,http://15445.courses.cs.cmu.edu/
171,,http://www.csd.cs.cmu.edu/course-profiles/15-317-Constructive-Logic,Constructive Logic,15-317,http://www.cs.cmu.edu/~fp/courses/15317-f17/
172,,https://www.csd.cs.cmu.edu/course-profiles/15-458-Discrete-Differential-Geometry,Discrete Differential Geometry,15-458,http://geometry.cs.cmu.edu/ddg
173,,https://www.csd.cs.cmu.edu/course-profiles/15-451-Algorithm-Design-and-Analysis,Algorithm Design and Analysis,15-451,"https://www.cs.cmu.edu/~15451/,https://www.cs.cmu.edu/~15451/"
174,,https://www.csd.cs.cmu.edu/course-profiles/15-445_645-Database-Systems,Database Systems,15-445,http://15445.courses.cs.cmu.edu/
175,,https://www.csd.cs.cmu.edu/course-profiles/15-252-More-Great-Theoretical-Ideas-in-Computer-Science,More Great Ideas in Theoretical Computer Science,15-252,https://www.cs.cmu.edu/~15251/252.html
176,,https://www.csd.cs.cmu.edu/course-profiles/15-251-Great-Theoretical-Ideas-in-Computer-Science,Great Theoretical Ideas in Computer Science,15-251,"http://www.cs.cmu.edu/~15251/policy.html,http://www.cs.cmu.edu/~15251/"
177,,http://csd.cs.cmu.edu/course-profiles/15-394-Intermediate-Rapid-Prototyping,Intermediate Rapid Prototyping,15-394,http://www.cs.cmu.edu/afs/cs/academic/class/15394u-s17/
178,,http://csd.cs.cmu.edu/course-profiles/15-319-619-Cloud-Computing,Cloud Computing,15-319,http://www.cs.cmu.edu/~msakr/15619-s17/
179,,http://csd.cs.cmu.edu/course-profiles/15-348-Embedded-Systems,Embedded Systems,15-348,https://web2.qatar.cmu.edu/~srazak/courses/15348-s17/index.html
180,,http://csd.cs.cmu.edu/course-profiles/15-313-Foundations-of-Software-Engineering,Foundations of Software Engineering,15-313,"https://www.cs.cmu.edu/~ckaestne/15313/,https://www.cs.cmu.edu/~ckaestne/15313/"
181,,http://csd.cs.cmu.edu/course-profiles/15-319-619-Cloud-Computing,Cloud Computing,15-619,http://www.cs.cmu.edu/~msakr/15619-s17/
182,,http://csd.cs.cmu.edu/course-profiles/15-213-Introduction-to-Computer-Systems,Introduction to Computer Systems,15-513,https://www.cs.cmu.edu/~213/
183,,https://csd.cs.cmu.edu/course-profiles/15-122-principles-imperative-computation,Principles of Imperative Computation,15-122,http://www.cs.cmu.edu/~15122/home.shtml
184,,http://csd.cs.cmu.edu/course-profiles/15-213-Introduction-to-Computer-Systems,Introduction to Computer Systems,15-213,https://www.cs.cmu.edu/~213/
185,,http://csd.cs.cmu.edu/course-profiles/15-151-Mathematical-Foundations-for-Computer-Science,Mathematical Foundations for Computer Science,15-151,http://www.math.cmu.edu/~jmackey/151_128/welcome.html
186,,http://csd.cs.cmu.edu/content/15-131-great-practical-ideas-computer-scientists,Great Practical Ideas for Computer Scientists,15-131,https://www.cs.cmu.edu/~15131/
187,,http://csd.cs.cmu.edu/course-profiles/15-121-Introduction-to-Data-Structures,Introduction to Data Structures,15-121,"http://www.cs.cmu.edu/~mjs/121/,http://www.cs.cmu.edu/~mjs/121/"
188,,http://csd.cs.cmu.edu/course-profiles/15-104-Introduction-to-Computing-for-Creative-Practice,Introduction to Computing for Creative Practice,15-104,https://courses.ideate.cmu.edu/15-104/f2016/
189,,, Fundamental Programming Concepts,1109,https://classes.cornell.edu/browse/roster/SU20/class/CS/1109
190,,, Introduction to Computing Using Python,1110,https://classes.cornell.edu/browse/roster/SP22/class/CS/1110
191,,, Introduction to Computing Using MATLAB,1112,http://www.cs.cornell.edu/courses/CS1112/2021sp/
192,,, Short Course in MATLAB,1132,http://www.cs.cornell.edu/courses/CS1132/2021sp/
193,,, Short Course in Python,1133,https://classes.cornell.edu/browse/roster/SP22/class/CS/1133
194,,, Introductory Design and Programming for the Web,1300,https://classes.cornell.edu/browse/roster/SP22/class/CS/1300
195,,, Choices and Consequences in Computing,1340,http://www.cs.cornell.edu/courses/CS1340/2021sp/
196,,, Data Science for All,1380,http://www.cs.cornell.edu/courses/CS1380/2020sp/
197,,, Computing in the Arts,1610,https://classes.cornell.edu/browse/roster/SU21/class/CS/1610
198,,, Visual Imaging in the Electronic Age,1620,https://www.graphics.cornell.edu/sites/default/files/inline-files/Revised%20Visual%20Imaging%20Web%20Article%204.2_0.pdf
199,,, Introduction to Cognitive Science,1710,https://classes.cornell.edu/browse/roster/SP22/class/CS/1710
200,,, Freshmen and Nontechnical Team Projects,1998,https://classes.cornell.edu/browse/roster/SP22/class/CS/1998
201,,, C++ Programming,2024,http://www.cs.cornell.edu/courses/CS2024/2019fa/
202,,, UNIX Tools and Scripting,2043,http://www.cs.cornell.edu/courses/CS2043/2020sp/
203,,, Object-Oriented Programming and Data Structures,2110,https://classes.cornell.edu/browse/roster/SP22/class/CS/2110
204,,, Programming Practicum,2111,http://www.cs.cornell.edu/courses/CS2111/2021sp/
